id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,big_diff
624,73.4177,44.36212,151.41556,3.28565,24.94588,0.292155,4,0,0,1,209.282299,307.387884,-28.584436,3.285651,89.805166,0.216101,4,0.114006,0,1,0.45,2.336371,0
625,73.44518,44.35718,151.42288,3.36334,24.93556,0.213821,4,0,0,1,209.254823,307.39282,-28.577124,3.363337,89.768002,0.104834,4,0,0,1,0.45,2.514198,0
626,73.44611,44.35712,151.42396,3.35927,24.93574,0.222123,4,0,0,1,209.253891,307.39288,-28.576038,3.359266,89.768663,0.087889,4,0,0,1,0.5,2.505206,0
627,73.4522,42.98192,151.87906,4.14622,23.38425,0.502092,4,0.135535,0,1,209.247802,308.768085,-28.120937,4.146218,84.183295,0.315878,4,0.226312,0,1,0.4,3.545705,0
628,73.48184,44.37468,151.42697,3.28987,24.95066,0.286791,4,0,0,1,209.218165,307.375319,-28.573028,3.289872,89.822365,0.241731,4,0.076742,0,1,0.4,2.364923,0
629,73.73161,47.41192,146.85771,1.03453,23.90527,0.298776,0.041661,0,0,1,208.968389,304.338085,-33.142292,1.034534,86.05897,0.061422,0.093785,0,1,1,0.45,0.053545,0
630,73.74092,47.42468,147.04877,1.00888,23.92295,0.263234,0.041731,0,0,1,208.959083,304.325323,-32.951227,1.008875,86.122613,0.130447,4,0,0,1,0.35,0.047179,0
631,73.7468,47.28869,146.79933,1.03563,23.90586,0.182515,0.427868,0,0,1,208.953201,304.46131,-33.200666,1.035633,86.061112,0.105275,0.093784,0,1,1,0.2,0.106075,0
632,73.81691,43.42195,158.58395,5,22.61858,0.430123,4,0.014598,0,1,208.883095,308.328052,-21.416051,5,81.426873,0.2815,4,0.120139,0,1,0.45,7.346513,0
633,73.85995,43.92282,158.73067,4.71145,23.18684,0.3028,4,0,0,1,208.840048,307.827178,-21.269329,4.711452,83.47263,0.213272,4,0,0,1,0.6,6.842879,0
634,73.93282,43.56204,151.94456,4.11405,25,0.237863,4,0,0,1,208.767181,308.187965,-28.055444,4.11405,90,0.246835,4,0,0,1,0.65,3.49663,0
635,73.94578,36.74388,146.37406,5,14.19906,0.898819,4,0.034996,0,1,208.754224,315.006119,-33.625936,5,51.116608,0.513273,4,0.443006,0,0,0.65,4.746944,0
636,73.96666,43.9155,158.51481,4.75226,23.34232,0.259509,4,0,0,1,208.73334,307.834501,-21.485187,4.752263,84.032358,0.337115,4,0,0,1,0.6,6.850069,0
637,73.97038,43.91518,158.51313,4.75122,23.34545,0.259803,0.04204,0,0,1,208.729618,307.83482,-21.486869,4.751221,84.043628,0.33176,4,0,0,1,0.5,6.846016,0
638,74.44216,44.05941,157.04376,4.46315,24.48609,0.214007,4,0,0,1,208.257844,307.690595,-22.956238,4.463154,88.149935,0.131862,4,0,0,1,0.45,5.655307,0
