id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
35,30.70261,35.60525,54.99736,5,15.42224,3.160431,4,0.047833,0,0,251.997387,316.14475,-125.002642,5,55.520075,0.251633,0.302504,0.450005,1,1,0.1,6.41783,0
36,30.70802,38.75316,80.90288,3.00389,4.62697,15.266082,3.1131,0,0,0,251.991977,312.996839,-99.097117,3.00389,16.657092,0.091751,0.238281,1.843379,1,1,0.15,15.533013,0
37,30.73483,38.72728,81.25894,3.02228,4.61266,15.35056,3.138467,0,0,0,251.965166,313.022723,-98.741059,3.022276,16.605566,0.118267,0.141951,1.815031,1,1,0.25,15.95481,0
38,30.73598,36.52071,63.21392,4.62357,15.34475,2.682491,4,0.089479,0,0,251.964023,315.229294,-116.786082,4.623573,55.241082,0.381995,0.266576,0.573863,1,1,0.1,7.639278,0
39,31.002,36.48884,61.18358,4.6074,15.12598,2.581838,4,0.109185,0,0,251.698001,315.261157,-118.816416,4.607402,54.453543,0.074022,0.266599,0.183509,1,1,0.15,7.160346,0
40,31.01744,36.44113,63.29408,4.63031,14.89262,2.328392,4,0.026768,0,0,251.68256,315.308871,-116.705922,4.63031,53.613432,0.26111,0.212787,0.221433,1,1,0.1,7.420618,0
41,31.13131,36.37204,60.5003,4.66486,15.59673,2.907009,4,0.077728,0,0,251.568687,315.377963,-119.499703,4.664864,56.148242,0.185259,0.266576,0.118551,1,1,0.15,7.286383,0
42,31.46567,35.99772,57.70632,4.99453,16.04204,2.837913,4,0.042828,0,0,251.23433,315.75228,-122.293677,4.994528,57.75135,0.589607,0.320474,0.279317,1,0,0.2,6.729641,0
43,31.46606,38.88958,74.02175,3.98354,14.96905,1.197527,4,0.236467,0,1,251.23394,312.860419,-105.978252,3.983538,53.888594,0.393928,0.286462,1.281397,1,1,0.15,7.974372,0
44,31.7138,35.06087,54.17244,5,15.79808,3.725526,4,0.098382,0,0,250.986197,316.689126,-125.827564,5,56.873093,0.033455,0.302477,0.291121,1,1,0.15,6.827007,0
45,31.7284,36.32522,55.85341,4.64198,15.53728,3.02373,4,0.028951,0,0,250.971604,315.424781,-124.146589,4.641975,55.934202,0.087192,0.363496,0.450272,1,1,0.2,6.448141,0
46,31.87098,36.24057,58.91841,4.62412,15.46145,2.876079,4,0.095214,0,0,250.829017,315.509429,-121.081587,4.624122,55.661219,0.14945,0.212767,0.390494,1,1,0.15,6.99505,0
47,31.95452,36.35779,58.27929,4.63056,16.38253,3.402412,4,0.081783,0,0,250.745479,315.392208,-121.720707,4.630563,58.977119,0.39504,4,0.009107,0,1,0.2,7.25267,1
48,32.04296,36.22471,55.23842,4.6535,16.17662,3.495306,4,0.044605,0,0,250.65704,315.525295,-124.761582,4.653503,58.235839,0.528203,4,0.155938,0,1,0.25,6.739595,1
49,32.1341,36.48836,60.4228,4.62068,16.25808,3.048369,4,0.101006,0,0,250.5659,315.26164,-119.577203,4.620675,58.529096,0.21839,0.067821,0.579714,1,1,0.15,7.396378,0
